victim.country.,actor.external.country.,actor.partner.country.,action.hacking.vector.,action.malware.vector.,action.misuse.vector.,action.physical.vector.,action.social.vector.,victim.industry2.
US,,,,,LAN access,,,92
US,Unknown,,,,,Personal vehicle,,62
US,,Unknown,,,,,,62
GB,Unknown,,Web application,,,,,51
US,,,,,,,,92
US,,,,,,,,92
US,US,,Web application,,,,,62
AZ,Unknown,,Web application,,,,,22
US,Unknown,,,,,Unknown,,81
US,Unknown,US,,,Unknown,Unknown,,92
CA,Unknown,,Web application,,,,,92
US,,,,,,,,92
US,,,,,,Privileged access,,62
US,,,,,LAN access,,,92
US,,,,,,,,62
US,,,,,,,,52
US,,,,,,,,52
IN,PK,,,,LAN access,,Phone,92
US,Unknown,,,,,Unknown,,62
US,NG,,Unknown,Unknown,,,Email,61
US,Unknown,,,,,Personal vehicle,,52
US,Unknown,,,,,Victim work area,,62
US,,,,,Physical access,,,44
GB,Unknown,,Web application,,,,,62
US,,,,,,,,92
US,,,,,,,,61
US,Unknown,,,,,Unknown,,62
GB,Unknown,,,,,Victim work area,,62
US,,,,,,,,61
US,Unknown,,,,,Unknown,,62
US,US,,Web application,,,,,33
GB,,GB,,,,,,52
EC,,,,,,,,51
US,Unknown,,Unknown,Unknown,,,,72
GB,Unknown,,,,,Unknown,,44
US,,,,,,,,92
US,,,,,LAN access,,,92
US,Unknown,,,,,Unknown,,62
US,US,,Web application,,,,,48
US,CN,,Unknown,Web drive-by,,,Email,33
US,Unknown,,Unknown,,,,,61
CA,Unknown,,Web application,,,,,92
US,,,,,LAN access,,,52
US,,,,,,,,62
US,,,,,,,,62
US,US,,,,,Victim work area,,62
US,Unknown,,,,,Personal vehicle,,92
US,Unknown,,Unknown,,,,,54
US,Unknown,,,,,,,81
SY,Unknown,,Web application,,,,,51
CA,,,,,,,,62
US,Unknown,,,,Physical access,,In-person,72
US,,,,,,,,92
US,,,,,Physical access,,Documents,72
US,,,,,,,,45
CA,,Unknown,,,,,,92
US,Unknown,,Web application,,,,,51
FR,Unknown,,,,Unknown,,,52
US,,,,,LAN access,,,62
US,,,,,,,,92
US,,,,,,,,92
US,,,,,,,,92
US,Unknown,,,,Physical access,,,62
US,,,,,,,,62
US,,,,,,,,51
CA,,,,,,,,56
US,,,,,Physical access,,,56
ES,Unknown,,,Unknown,,,,92
RU,Unknown,,Web application,,,,,52
CA,CN,,Unknown,,,,,54
US,,,,,LAN access,,,92
CA,Unknown,,,,,Personal vehicle,,00
US,,Unknown,,,,,,52
US,Unknown,,Web application,,,,,51
US,Unknown,,,,,,Email,62
IN,Unknown,,,Unknown,,,,42
US,,,,,,,,92
US,,US,,,,,,92
US,,,,,LAN access,,,92
GB,,,,,LAN access,,,62
CA,,,,,Unknown,,Unknown,62
US,,,,,,,,52
US,Unknown,,Unknown,,,,,56
AT,Unknown,,Unknown,,,,,81
US,,,,,,,,52
US,,,,,,,,92
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,Personal vehicle,,62
US,,,,,Physical access,,,62
CA,,,,,,,,62
US,,US,,,,,,62
US,Unknown,,Unknown,,,,,81
US,,,,,,Victim public area,,72
US,,,,,,,,92
IE,Unknown,,,,,Unknown,,62
NZ,,,,,Physical access,,,62
US,Unknown,,Unknown,,,,,51
US,,,,,LAN access,,,62
US,US,,,,,Victim public area,,44
GB,,,,,,,,92
AU,,,,,,,,48
US,Unknown,,Web application,,,,,45
GB,Unknown,,Unknown,,,,,51
US,,,,,,,,56
US,,,,,,,,62
US,Unknown,,,,,Unknown,,62
US,,Unknown,,,,,,92
TW,Unknown,,Unknown,,,,,54
GB,GB,,,,,,,51
SG,Unknown,,Web application,,,,,92
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,,,52
US,,,,,,Victim work area,,92
US,Unknown,,,,,Unknown,,62
US,,,,,,,,62
US,,Unknown,,,,,,62
US,,IN,,,Remote access,,,51
US,Unknown,,,,,Personal vehicle,,54
US,,,,,Unknown,,,62
CA,,,,,LAN access,,,52
US,Unknown,,,,,Unknown,,62
US,Unknown,,,,,,Email,61
US,Unknown,,Unknown,Unknown,,,,31
AU,Unknown,,,Email attachment,,,Email,81
US,,,,,,,,92
NZ,,,,,,,,92
US,,,,,,,,48
US,Unknown,,,Unknown,,,,62
US,Unknown,,Web application,,,,,51
US,,Unknown,,,,,,92
US,,,,,,,,92
US,,,,,,,,62
US,,,,,,,,92
US,,,,,LAN access,,,92
US,UA,,Web application,,,,,52
NZ,NZ,,Web application,,,,,92
GB,,GB,,,,,,52
US,Unknown,,,,,Unknown,,54
CA,Unknown,,Web application,,,,,51
IL,Unknown,,Web application,,,,,51
US,,Unknown,,,,,,44
KE,Unknown,,Web application,,,,,92
US,,,,,,,,92
US,Unknown,Unknown,,Unknown,,,,62
US,Unknown,,,,,Victim grounds,,44
US,,,,,,,,92
US,Unknown,,,,,Unknown,,62
US,,,,,LAN access,,,62
US,Unknown,,,,,Victim work area,,62
US,Unknown,,,,,Unknown,,33
US,Unknown,,,,LAN access,,In-person,62
US,Unknown,,,,,Unknown,,62
EE,UA,,Web application,,,,,81
US,Unknown,,Unknown,,,,,42
US,,,,,LAN access,,,52
US,,,,,,,,44
US,,,,,LAN access,,,52
US,,,,,,,,92
US,Unknown,,,,,,Email,33
US,US,,,,LAN access,,In-person,62
CA,,US,,,,,,62
US,,,,,,,,92
US,,,,,,,,62
AL,ID,,Web application,,,,,92
ZA,JP,,Unknown,,,Unknown,,52
KZ,RU,,Backdoor or C2,Email attachment,,,Email,33
US,Unknown,,Web application,,,,,81
US,Unknown,,,,,Unknown,,44
