action,actor,industry,year
Misuse,Internal,Public ,2010
Physical,External,Healthcare ,2014
Error,Partner,Healthcare ,2014
Hacking,External,Information ,2012
Error,Internal,Public ,2014
Error,Internal,Public ,2014
Hacking,External,Healthcare ,2017
Hacking,External,Utilities ,2013
Physical,External,Other Services ,2011
Hacking,External,Public ,2016
Error,Internal,Public ,2012
Physical,Internal,Healthcare ,2017
Misuse,Internal,Public ,2012
Error,Internal,Healthcare ,2017
Error,Internal,Finance ,2014
Error,Internal,Finance ,2010
Social + Misuse,External + Internal,Public ,2016
Physical,External,Healthcare ,2010
Malware + Hacking + Social,External,Educational ,2015
Physical,External,Finance ,2016
Physical,External,Healthcare ,2014
Misuse,Internal,Retail ,2016
Hacking,External,Healthcare ,2012
Error,Internal,Public ,2012
Error,Unknown,Educational ,2015
Physical,External,Healthcare ,2011
Physical,External,Healthcare ,2013
Error,Internal,Educational ,2015
Physical,External,Healthcare ,2013
Hacking,External,Manufacturing ,2012
Error,Partner,Finance ,2011
Physical,External,Retail ,2016
Error,Internal,Public ,2012
Misuse,Internal,Public ,2010
Physical,External,Healthcare ,2010
Hacking,External,Transportation ,2016
Malware + Hacking + Social,External,Manufacturing ,2009
Hacking,External,Educational ,2012
Hacking,External,Public ,2015
Misuse,Internal,Finance ,2007
Error,Internal,Healthcare ,2012
Error,Internal,Healthcare ,2013
Physical,External + Unknown,Healthcare ,2017
Physical,External,Public ,2012
Hacking,External,Professional ,2013
Unknown,External,Other Services ,2015
Hacking,External,Information ,2013
Error,Internal,Healthcare ,2015
Social + Misuse,External + Internal,Accomodation ,2015
Error,Internal,Public ,2013
Social + Misuse,Internal,Accomodation ,2012
Error,Internal,Retail ,2012
Error,Internal + Partner,Public ,2015
Hacking,External,Information ,2013
Misuse,External + Internal,Finance ,2016
Misuse,Internal,Healthcare ,2014
Error,Internal,Public ,2010
Error,Internal,Public ,2012
Error,Internal,Public ,2015
Misuse,External,Healthcare ,2013
Unknown,Unknown,Healthcare ,2011
Error,Internal,Information ,2006
Error,Internal,Administrative ,2012
Misuse,Internal,Administrative ,2009
Hacking,External,Finance ,2013
Hacking,External,Professional ,2012
Misuse,Internal,Public ,2008
Physical,External,Unknown,2013
Error,Partner,Finance ,2013
Hacking,External,Information ,2013
Social,External,Healthcare ,2017
Malware,External,Trade ,2016
Error,Internal,Public ,2013
Misuse,Internal,Public ,2010
Misuse,Internal,Healthcare ,2011
Social + Misuse,Internal,Healthcare ,2003
Unknown,Unknown,Finance ,2013
Hacking,External,Administrative ,2015
Hacking,External,Other Services ,2014
Unknown,Unknown,Finance ,2013
Error,Internal,Public ,2011
Physical,External,Healthcare ,2010
Physical,External,Healthcare ,2012
Misuse,Internal,Healthcare ,2013
Error,Internal,Healthcare ,2015
Error,Partner,Healthcare ,2013
Hacking,External,Other Services ,2011
Physical,Unknown,Accomodation ,2013
Error,Internal,Public ,2014
Physical,External,Healthcare ,2007
Misuse,Internal,Healthcare ,2015
Hacking,External,Information ,2011
Misuse,Internal,Healthcare ,2015
Physical,External,Retail ,2017
Error,Internal,Public ,2011
Error,Internal,Transportation ,2015
Hacking,External,Retail ,2012
Hacking,External,Information ,2012
Error,Internal,Administrative ,2013
Physical,External,Healthcare ,2014
Error,Partner,Public ,2013
Hacking,External,Professional ,2013
Hacking,External,Public ,2013
Physical,External,Healthcare ,2012
Error,External + Internal,Finance ,2016
Physical,Unknown,Public ,2013
Physical,External,Healthcare ,2010
Unknown,Unknown,Healthcare ,2011
Error,Partner,Healthcare ,2015
Misuse,Partner,Information ,2005
Physical,External,Professional ,2015
Misuse,Internal,Healthcare ,2008
Misuse,Internal,Finance ,2013
Physical,External,Healthcare ,2012
Malware + Hacking,External,Manufacturing ,2013
Error,Internal,Public ,2014
Error,Internal,Public ,2014
Error,Internal,Transportation ,2016
Malware,External,Healthcare ,2017
Hacking,External,Information ,2015
Error,Partner,Public ,2012
Error,Internal,Public ,2015
Error,Internal,Public ,2013
Misuse,Internal,Public ,2012
Hacking,External,Finance ,2012
Hacking,External,Public ,2013
Error,Partner,Finance ,2011
Physical,External,Professional ,2012
Hacking,External,Information ,2012
Hacking,External,Information ,2013
Error,Partner,Retail ,2010
Hacking,External,Public ,2013
Error,Internal,Public ,2014
Malware,External + Partner,Healthcare ,2015
Physical,External,Retail ,2017
Error,Internal,Public ,2010
Physical,External,Healthcare ,2013
Misuse,Internal,Healthcare ,2011
Physical,External,Healthcare ,2015
Physical,External,Manufacturing ,2012
Social + Misuse,External + Internal,Healthcare ,2011
Physical,External,Healthcare ,2012
Hacking,External,Other Services ,2013
Hacking,External,Trade ,2013
Misuse,Internal,Finance ,2007
Error,Internal,Retail ,2016
Misuse,Internal,Finance ,2016
Error,Internal,Public ,2010
Social + Misuse,External + Internal,Healthcare ,2007
Error,Partner,Healthcare ,2010
Error,Internal,Public ,2014
Error,Internal,Healthcare ,2015
Hacking,External,Public ,2014
Hacking + Physical,External,Finance ,2016
Malware + Hacking + Social,External,Manufacturing ,2012
Hacking,External,Other Services ,2013
Physical,External,Retail ,2014
Misuse,Internal,Public ,2013
Physical,External,Healthcare ,2010
Physical,External,Healthcare ,2012
Hacking,External,Information ,2015
Hacking,External,Unknown,2013
Hacking,External,Finance ,2011
Hacking,External,Manufacturing ,2013
Error,Internal,Public ,2011
Social,External,Manufacturing ,2015
Hacking,External,Finance ,2017
Error,Internal,Public ,2010
Malware + Social,External,Healthcare ,2016
Misuse,Internal,Public ,2011
Error,Partner,Healthcare ,2010
Error,Internal,Healthcare ,2014
Misuse,Internal,Educational ,2013
Error,Internal,Professional ,2014
Hacking,External,Utilities ,2012
Hacking,External,Educational ,2012
Misuse,Internal,Public ,2016
Error,Internal,Public ,2013
Hacking,External,Public ,2012
Physical,External,Healthcare ,2014
Misuse,Internal,Healthcare ,2008
Hacking,External,Public ,2015
Hacking,External,Trade ,2012
Hacking,External,Other Services ,2013
Physical,External,Public ,2013
Unknown,External,Finance ,2015
Error,Internal,Educational ,2017
Malware + Hacking,External,Accomodation ,2014
Social + Physical,External,Healthcare ,2010
Error,Internal,Public ,2011
Hacking,External,Public ,2013
Malware + Hacking,External,Information ,2013
Error,Partner,Public ,2011
Hacking,External,Public ,2016
Misuse,Partner,Information ,2012
Physical,External,Retail ,2016
Error,Internal,Public ,2010
Physical,External,Healthcare ,2010
Misuse,Internal,Public ,2013
Error,Partner,Healthcare ,2013
Unknown,Internal,Public ,2010
Physical,External,Public ,2013
Physical,External,Finance ,2016
Misuse,Internal,Public ,2012
Hacking,External,Administrative ,2015
Error,Internal,Educational ,2013
Error,Internal,Healthcare ,2011
Error,Internal,Public ,2013
Hacking,External,Information ,2013
Physical,External,Healthcare ,2013
Physical,External,Healthcare ,2013
Physical,Unknown,Finance ,2010
Unknown,Unknown,Trade ,2012
Hacking + Social,External,Entertainment ,2016
Error,Internal,Public ,2012
Misuse + Error,External + Internal,Educational ,2013
Hacking,External,Unknown,2013
Error,Partner,Healthcare ,2015
Malware + Hacking,External,Educational ,2015
Malware + Social,External,Healthcare ,2014
Hacking,External,Public ,2013
Physical,External,Retail ,2016
Error,Internal,Public ,2011
Malware,External,Manufacturing ,2017
Error,Internal,Public ,2015
Error,Internal,Entertainment ,2017
Error,Internal,Healthcare ,2013
Error,Internal,Public ,2014
Hacking,External,Public ,2013
Hacking,External,Finance ,2016
Misuse,Internal,Finance ,2014
Hacking,External,Information ,2011
Social,External,Administrative ,2015
Hacking,External,Public ,2013
Error,Internal,Public ,2015
Physical + Error,Internal,Healthcare ,2016
Physical,Partner,Administrative ,2013
Malware,External,Public ,2013
Hacking,External + Internal + Partner,Information ,2016
Physical,External,Retail ,2015
Error,Internal,Public ,2013
Error,Internal,Educational ,2016
Unknown,Unknown,Professional ,2016
Misuse,Internal,Other Services ,2016
Error,Internal,Manufacturing ,2016
Error,Internal,Public ,2012
Physical,External,Administrative ,2014
Physical,External,Unknown,2013
Misuse,Internal,Healthcare ,2012
Hacking,External,Professional ,2012
Error,Internal,Public ,2011
Physical,External,Finance ,2009
Physical,External,Healthcare ,2012
Malware + Hacking + Social,External,Real Estate ,2010
Malware,External,Educational ,2012
Error,Internal,Public ,2014
Error,Internal,Public ,2010
Hacking,External,Healthcare ,2010
Physical,Unknown,Educational ,2013
Error,Internal,Healthcare ,2013
Physical,External,Healthcare ,2015
Physical,External,Healthcare ,2015
Error,Internal,Public ,2012
Misuse,Partner,Healthcare ,2012
Error,Internal,Retail ,2017
Error,Internal,Public ,2015
Error,Internal,Public ,2012
Error,Internal,Public ,2012
Error,Partner,Healthcare ,2012
Misuse,Internal,Public ,2015
Error,Internal,Public ,2012
Hacking + Physical,Internal,Educational ,2012
Misuse,Internal,Professional ,2013
Error,Internal,Healthcare ,2011
Unknown,External,Information ,2011
Hacking,External,Public ,2013
Hacking,External,Information ,2014
Error,Internal,Public ,2016
Error,Internal,Finance ,2013
Physical,External,Trade ,2010
Error,Internal,Professional ,2015
Physical,External,Healthcare ,2016
Misuse,Internal,Healthcare ,2013
Misuse,Internal,Public ,2012
Misuse,Internal,Finance ,2013
Hacking,External,Information ,2015
Physical,External,Healthcare ,2013
Malware + Hacking + Social,External,Public ,2013
Hacking,External,Real Estate ,2014
Hacking,External,Public ,2016
Error,Internal,Professional ,2015
Error,Internal,Public ,2010
Physical,External,Healthcare ,2010
Physical,External,Finance ,2012
Hacking,Unknown,Finance ,2012
Physical,External,Healthcare ,2016
Misuse,Internal,Public ,2011
Error,Internal,Public ,2016
Physical,External,Public ,2014
Physical,External,Healthcare ,2014
Error,Internal,Public ,2011
Error,Internal,Public ,2015
Malware + Social,External,Healthcare ,2015
Hacking,External,Educational ,2013
Error,Internal,Public ,2017
Error,Internal,Educational ,2015
Misuse,Internal,Public ,2013
Misuse,Internal,Other Services ,2007
Physical,External,Public ,2004
Hacking,External,Utilities ,2013
Hacking,External,Information ,2013
Physical,External,Healthcare ,2010
Error,External,Healthcare ,2016
Error,Internal,Healthcare ,2014
Error,Internal,Healthcare ,2013
Misuse,External + Internal,Healthcare ,2011
Misuse,Internal,Accomodation ,2009
Physical,External,Healthcare ,2012
Misuse,External + Internal,Healthcare ,2012
Error,Partner,Unknown,2013
Error,Internal + Partner,Healthcare ,2016
Error,Internal,Educational ,2012
Hacking,External,Unknown,2013
Physical,External,Finance ,2010
